WeatherSquareG:WeatherSquare,"A low resolution grid square for which weather data is provided
globally.",,,,,
WeatherSquareR:WeatherSquare,"A high resolution grid square for which weather data is provided
locally.",,,,,
SoilCoverage,The fractional area of a location covered by a particular soil type.,"soil_type (SoilType)
coverage (double)
location (ReefAwareLocation)",,,,
Region,A geographic region.,name,,,,
ReefAwareRegion:Region,A region used in the ReefAware app,catchments ([Catchment]),,,,
WeatherForecast,A weather forecast,"soil_moisture
weather_square (WeatherSquare)
weather_model_file (WeatherModelFile)
soil_moisture (double, mm)
soil_moisture_top_layer (double, mm)
precipitation_intensity (double, mm/h)
temperature (double, C)
wind_speed (double, m/s)
wind_direction (double, rad)",,,,
WeatherModelFile,A file providing weather data for one time step,"time_step (integer)
date_valid (datetime)
weather_model_run (WeatherModelRun)
weather_forecasts ([WeatherForecast])
date_time (datetime)",,,,
WeatherModelRun,A run of a weather model,"date_time (datetime)
model_type (integer, 0 = G, 1 = R)
weather_model_files ([WeatherModelFile])
weather_forecats ([WeatherForecast])",,,,
Commodity,A commodity that is traded.,"name (string)
exchange (Exchange)
futures ([Future])
daily_prices ([DailyPrice])
crop (Crop?)",,,,
Exchange,An exchange at which a commodity is traded.,"name (string)
code (string)
commodities ([Commodity])",,,,
Future,A Future contract on a given commodity.,"contract_code (string)
exchange (Exchange)
contract_date (date)
last_trade (double)
difference (double)
open (double)
high (double)
low (double)
close (double)
volume (double)",,,,
DailyPrice,The daily price of a given commodity.,"commodity (Commodity)
region (PriceRegion)
month (datetime)
price (double)
change (double)",,,,
Currency,A form of money.,"code (string)
name (string)
exchange_rates ([ExchangeRate])",,,,
ExchangeRate,The rate of exchange between two currencies.,"from_currency (Currency)
to_currency (Currency)
rate (double)",,,,
PriceRegion:Region,A region for which prices data is provided.,daily_prices ([DailyPrice]),,,,
